log_id,label,user_id,age,gender,residence,city,city_rank,series_dev,series_group,emui_dev,device_name,device_size,net_type,task_id,adv_id,creat_type_cd,adv_prim_id,inter_type_cd,slot_id,site_id,spread_app_id,hispace_app_tags,app_second_class,app_score,ad_click_list_v001,ad_click_list_v002,ad_click_list_v003,ad_close_list_v001,ad_close_list_v002,ad_close_list_v003,pt_d,u_newsCatInterestsST,u_refreshTimes,u_feedLifeCycle
373250,0,100005,3,2,16,147,2,32,6,35,312,2117,7,14339,19319,6,1846,4,46,1,162,47,14,10.0,30157^30648^14278^31706,2066^1776^1036,114^219^312,24107,1218,173,202206030326,39^220^16,0,15
373253,1,100005,3,2,16,147,2,32,6,35,312,2117,7,11923,21714,8,1060,4,37,1,344,20,13,10.0,30157^30648^14278^31706,2066^1776^1036,114^219^312,24107,1218,173,202206030326,39^220^16,0,15
373252,1,100005,3,2,16,147,2,32,6,35,312,2117,7,11923,21714,8,1060,4,37,1,344,20,13,10.0,30157^30648^14278^31706,2066^1776^1036,114^219^312,24107,1218,173,202206030326,39^220^16,0,15
373251,0,100005,3,2,16,147,2,32,6,35,312,2117,7,28665,20163,8,1542,4,47,1,152,49,17,10.0,30157^30648^14278^31706,2066^1776^1036,114^219^312,24107,1218,173,202206030326,39^220^16,0,15
373255,0,100005,3,2,16,147,2,32,6,35,312,2117,7,34041,13608,8,1036,4,44,1,312,43,18,10.0,30157^30648^14278^31706,2066^1776^1036,114^219^312,24107,1218,173,202206030328,39^220^16,0,15
373254,0,100005,3,2,16,147,2,32,6,35,312,2117,7,21493,15213,8,1036,4,40,1,312,43,18,10.0,30157^30648^14278^31706,2066^1776^1036,114^219^312,24107,1218,173,202206030326,39^220^16,0,15
101100,0,100006,5,2,13,191,4,32,6,20,229,1545,7,16972,20415,8,1690,5,28,1,213,18,23,0.0,28554^22548^13312^29694^11623,1776^1696^1230^1886,219^349^198^314,24107,1218,173,202206030844,39^78^220^142^16,3,17
101097,0,100006,5,2,13,191,4,32,6,20,229,1545,7,11623,21868,8,1230,5,28,1,198,43,18,10.0,28554^22548^13312^29694^11623,1776^1696^1230^1886,219^349^198^314,24107,1218,173,202206030359,39^78^220^142^16,3,17
101098,0,100006,5,2,13,191,4,32,6,20,229,2117,7,16972,23428,8,1690,5,21,1,213,18,23,0.0,28554^22548^13312^29694^11623,1776^1696^1230^1886,219^349^198^314,24107,1218,173,202206030916,39^78^220^142^16,3,17
101094,0,100006,5,2,13,191,4,32,6,20,229,1545,7,24999,14522,10,1260,4,16,1,263,46,15,10.0,28554^22548^13312^29694^11623,1776^1696^1230^1886,219^349^198^314,24107,1218,173,202206030914,39^78^220^142^16,3,17
101095,0,100006,5,2,13,191,4,32,6,20,229,2117,7,11623,21868,8,1230,5,34,1,198,43,18,10.0,28554^22548^13312^29694^11623,1776^1696^1230^1886,219^349^198^314,24107,1218,173,202206030358,39^78^220^142^16,3,17
101096,0,100006,5,2,13,191,4,32,6,20,229,1230,7,11623,21868,8,1230,5,67,1,198,43,18,10.0,28554^22548^13312^29694^11623,1776^1696^1230^1886,219^349^198^314,24107,1218,173,202206030401,39^78^220^142^16,3,17
101099,0,100006,5,2,13,191,4,32,6,20,229,2117,7,16972,20415,8,1690,5,63,1,213,18,23,0.0,28554^22548^13312^29694^11623,1776^1696^1230^1886,219^349^198^314,24107,1218,173,202206030914,39^78^220^142^16,3,17
742637,0,100009,5,2,46,354,2,11,8,32,301,1186,7,16086,22365,8,1036,4,67,1,312,43,18,10.0,26227^26741^24226,2066^1518,114,24107,1218,173,202206030148,98^143^155^39^78,8,17
742648,0,100009,5,2,46,354,2,11,8,32,301,2401,7,11028,22643,8,1211,4,35,1,306,27,23,0.0,26227^26741^24226,2066^1518,114,24107,1218,173,202206030720,98^143^155^39^78,8,17
742638,0,100009,5,2,46,354,2,11,8,32,301,1186,7,31941,21695,8,1036,4,67,1,312,43,18,10.0,26227^26741^24226,2066^1518,114,24107,1218,173,202206030150,98^143^155^39^78,8,17
